"username","Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"matt","spotify:track:5FVd6KXrgO9B3JPmC8OPst","Do I Wanna Know?","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","1","272394","https://p.scdn.co/mp3-preview/006bc465fe3d1c04dae93a050eca9d402a7322b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","GBCEL1300362","","2021-03-27T17:05:44Z","garage rock,modern rock,permanent wave,rock,sheffield indie","0.548","0.532","5","-7.596","1","0.0323","0.186","0.000263","0.217","0.405","85.03","4","","Domino Recording Co","C 2013 Domino Recording Co Ltd, P 2013 Domino Recording Co Ltd"
"matt","spotify:track:1M4Ud66z18wuIq3oOxqVHa","bad idea!","spotify:artist:3uwAm6vQy7kWPS2bciKWx9","girl in red","spotify:album:6riOnMD3YhF8kGpAXpxbdj","bad idea!","spotify:artist:3uwAm6vQy7kWPS2bciKWx9","girl in red","2019-09-03","https://i.scdn.co/image/ab67616d0000b2736df69c88384e709e2be7cd16","1","1","219638","","true","12","GBKPL1963282","","2021-03-27T16:46:09Z","bedroom pop,indie pop,norwegian indie,pov: indie","0.511","0.806","1","-6.093","1","0.0481","0.03","0.0465","0.252","0.41","162.04","4","","world in red","C 2019 world in red under exclusive license to AWAL Recordings Ltd, P 2019 world in red under exclusive license to AWAL Recordings Ltd"
"matt","spotify:track:45Nop0DEW05P50lWsc91Ic","No","spotify:artist:6EB8VE9f7Ut6NOgviN6gDW","Dawid Podsiadło","spotify:album:3Ku50CLulJHPS5DTKRNyaM","Comfort and Happiness","spotify:artist:6EB8VE9f7Ut6NOgviN6gDW","Dawid Podsiadło","2013-05-27","https://i.scdn.co/image/ab67616d0000b2731c50564b832923dc630a12b7","1","7","248146","https://p.scdn.co/mp3-preview/511fdfc5b5034cf4aa666b6dcd06312299fb8394?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","PLB381300058","","2021-03-26T16:06:02Z","polish pop,talent show","0.805","0.67","9","-8.673","1","0.0458","0.0278","0.0037","0.146","0.614","134.964","4","","Sony Music Entertainment","P (P) 2013 Sony Music Entertainment Poland Sp. z o.o."
"matt","spotify:track:5TTGoX70AFrTvuEtqHK37S","No. 1 Party Anthem","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","6","243131","https://p.scdn.co/mp3-preview/ba38bc9842d486d94889a7803367737dc011db7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBCEL1300367","","2021-03-24T14:34:39Z","garage rock,modern rock,permanent wave,rock,sheffield indie","0.505","0.698","0","-5.563","1","0.0297","0.33","0.0887","0.0966","0.599","115.013","4","","Domino Recording Co","C 2013 Domino Recording Co Ltd, P 2013 Domino Recording Co Ltd"
"matt","spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Without Me","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:2cWBwpqMsDJC1ZUwz813lo","The Eminem Show","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2002-05-26","https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4","1","10","290320","https://p.scdn.co/mp3-preview/35fc7456c892c11867fe1513b92dc44e9664eaba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","89","USIR10211038","","2021-03-23T19:08:59Z","detroit hip hop,hip hop,rap","0.908","0.669","7","-2.827","1","0.0738","0.00286","0","0.237","0.662","112.238","4","","Aftermath","C © 2002 Aftermath Records, P ℗ 2002 Aftermath Records"
"matt","spotify:track:1FTSo4v6BOZH9QxKc3MbVM","Song 2 - 2012 Remaster","spotify:artist:7MhMgCo0Bl0Kukl93PZbYS","Blur","spotify:album:7HvIrSkKGJCzd8AKyjTJ6Q","Blur (Special Edition)","spotify:artist:7MhMgCo0Bl0Kukl93PZbYS","Blur","1997-02-10","https://i.scdn.co/image/ab67616d0000b273de114203356c1f7b136960b6","1","2","121160","https://p.scdn.co/mp3-preview/2c2b4ad08b6ef072182e9b38c386f54623aef4fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBAYE1200348","","2021-03-20T19:56:19Z","alternative rock,britpop,madchester,permanent wave,rock","0.674","0.789","8","-6.903","1","0.0676","0.00178","0.00708","0.0753","0.918","129.802","4","","Parlophone UK","C © 2012 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2012 Parlophone Records Ltd, a Warner Music Group Company"
"matt","spotify:track:1NhPKVLsHhFUHIOZ32QnS2","Secrets","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:2pLAOZiilrhOrTQNqrF8qr","Waking Up","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2009-01-01","https://i.scdn.co/image/ab67616d0000b27377a7bd558d81172446e525bb","1","3","224693","https://p.scdn.co/mp3-preview/9d4f7b744f64701c619f255693a33367039981ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USUM70985644","","2021-03-20T19:22:52Z","piano rock,pop","0.516","0.764","2","-6.223","1","0.0366","0.0717","0","0.115","0.376","148.021","4","","Mosley / Interscope","C © 2009 Mosley Music/Interscope Records, P ℗ 2009 Mosley Music/Interscope Records"
"matt","spotify:track:4Jz4bjXeiF2SXVj9P4YfY5","Keep Your Head Up","spotify:artist:2oX42qP5ineK3hrhBECLmj","Andy Grammer","spotify:album:2c93mTBuqEHQMiyg53P69R","Andy Grammer","spotify:artist:2oX42qP5ineK3hrhBECLmj","Andy Grammer","2011-06-14","https://i.scdn.co/image/ab67616d0000b2730c19b3bcdf3823ebe8d980fc","1","1","189933","","false","61","USKFE1000058","","2021-03-18T20:31:27Z","neo mellow,post-teen pop,viral pop","0.674","0.778","0","-5.367","1","0.0376","0.0469","0","0.145","0.816","90.01","4","","S-Curve Records","C © 2011 S-Curve Records, P ℗ 2011 S-Curve Records"
"matt","spotify:track:5MYFw4T2gy52pOGBN4EYHS","Stay Fly","spotify:artist:26s8LSolLfCIY88ysQbIuT","Three 6 Mafia","spotify:album:0kTLdP4XPeJGsbr2L8ikyF","Most Known Unknown (Explicit)","spotify:artist:26s8LSolLfCIY88ysQbIuT","Three 6 Mafia","2005-09-27","https://i.scdn.co/image/ab67616d0000b273f52c28f42318cdfe7718e32a","1","2","236600","https://p.scdn.co/mp3-preview/fc9258cc85e2ac11e1d57e5cd8adc0284958ea3f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USSM10502938","","2021-03-16T19:52:08Z","crunk,dirty south rap,gangster rap,memphis hip hop,southern hip hop,tennessee hip hop,trap","0.789","0.881","11","-5.758","1","0.0331","0.109","0","0.355","0.647","133.299","4","","Hypnotize Minds/Sony Urban Music/Columbia","P (P) 2005 SONY BMG MUSIC ENTERTAINMENT"
"matt","spotify:track:2TT4xzKg0kx6qcZ7kCzlYQ","Bob Fudge","spotify:artist:3xYXYzm9H3RzyQgBrYwIcx","Colter Wall","spotify:album:4seoK3TpuXYrvWOugMWRtw","Colter Wall & The Scary Prairie Boys","spotify:artist:3xYXYzm9H3RzyQgBrYwIcx","Colter Wall","2019-09-27","https://i.scdn.co/image/ab67616d0000b273bfae57c344bacf6a7e1c5e3a","1","2","323853","","false","23","QZFGM1900007","","2021-03-16T15:53:16Z","canadian americana,canadian contemporary country,outlaw country,saskatchewan indie","0.416","0.258","4","-15.286","0","0.0339","0.446","0.0002","0.123","0.377","146.861","3","","Black Hole Music","C (C) 2019 La Honda Records marketed and distributed by Thirty Tigers, P (P) 2019 La Honda Records marketed and distributed by Thirty Tigers"
